State,x,y
Washington,157,131.5
Idaho,211,115.5
Montana,322,166
North Dakota,440.5,164.5
Minnesota,507.5,182.5
Wisconsin,600,215
Michigan,674.5,238
New York,836,224
Vermont,866.5,202
New Hampshire,886,212.5
Maine,912.5,174.5
Oregon,128.5,211
Wyoming,332,255
South Dakota,426,245.5
Iowa,547.5,281.5
Illinois,624.5,301
Indiana,668.5,310.5
Ohio,721,312.5
Pennsylvania,815,290.5
New Jersey,857.5,287
Connecticut,879,256
Massachusetts,889.5,236.5
Rhode Island,899.5,247.5
California,85.5,299
Nevada,166,301
Utah,243.5,308.5
Colorado,352.5,347
Nebraska,460.5,313
Kansas,465,367.5
Missouri,570,368.5
Kentucky,700,378
West Virginia,768,350.5
Virginia,810.5,364
Maryland,825,318.5
Delaware,849.5,323.5
Arizona,220,418
New Mexico,323,434.5
Oklahoma,488.5,428
Arkansas,560,443.5
Tennessee,676.5,423.5
North Carolina,807,400.5
Texas,434.5,513.5
Louisiana,566.5,523
Mississippi,622.5,516.5
Alabama,670,499
Georgia,741,488
South Carolina,782.5,445.5
Florida,778,559.5
Alaska,140,571
Hawaii,337.5,628.5
